Origin,Origin_Code,Destination,Destination_Code,Date_accessed,Departure_Gap,Departure_Date,Departure_Day,Departure_time,Arrival_time,Duration,Changes,Price,Fare_Route_Description,Fare_Provider,TOC_Name,TOC_Provider,Ticket_type,nre_fare_category
Doncaster,DON,London Kings Cross,KGX,20190718_19-39,1,19/07/19,Friday,08:31,10:09,1:38,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190718_19-39,7,25/07/19,Thursday,08:31,10:09,1:38,0,54.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190718_19-39,30,17/08/19,Saturday,14:25,16:09,1:44,0,16.0,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190718_19-39,1,19/07/19,Friday,08:31,10:09,1:38,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190718_19-39,7,25/07/19,Thursday,08:31,10:09,1:38,0,54.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190718_19-39,30,17/08/19,Saturday,14:25,16:09,1:44,0,16.0,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190718_19-39,1,19/07/19,Friday,08:31,10:09,1:38,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190718_19-39,7,25/07/19,Thursday,08:31,10:09,1:38,0,54.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190718_19-39,30,17/08/19,Saturday,17:02,18:47,1:45,0,12.0,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190718_19-39,1,19/07/19,Friday,08:31,10:09,1:38,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190718_19-39,7,25/07/19,Thursday,08:31,10:09,1:38,0,54.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190718_19-39,30,17/08/19,Saturday,14:25,16:09,1:44,0,16.0,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
