TOC Criteria,Origin,Origin_Code,Destination,Destination_Code,Date_accessed,Time_searched_against,Departure_Gap,Departure_Date,Departure_Day,Departure_time,Arrival_time,Duration,Changes,Price,Fare_Route_Description,Fare_Provider,TOC_Name,TOC_Provider,Ticket_type,nre_fare_category
All TOCs,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,1430,1,20/07/19,Saturday,14:25,16:09,1:44,0,30.5,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
All TOCs,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,0831,7,26/07/19,Friday,08:31,10:09,1:38,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
All TOCs,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,1528,30,18/08/19,Sunday,15:28,17:14,1:46,0,25.0,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
All TOCs,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,1430,1,20/07/19,Saturday,14:25,16:09,1:44,0,30.5,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
All TOCs,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,0831,7,26/07/19,Friday,08:31,10:09,1:38,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
All TOCs,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,1528,30,18/08/19,Sunday,15:28,17:14,1:46,0,25.0,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
GC,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,1430,1,20/07/19,Saturday,17:08,18:47,1:39,0,21.0,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,0831,7,26/07/19,Friday,08:31,10:09,1:38,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,1528,30,18/08/19,Sunday,16:27,17:56,1:29,0,31.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,1430,1,20/07/19,Saturday,17:08,18:47,1:39,0,21.0,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,0831,7,26/07/19,Friday,08:31,10:09,1:38,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,1528,30,18/08/19,Sunday,16:27,17:56,1:29,0,31.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GR,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,1430,1,20/07/19,Saturday,14:30,16:30,2:0,0,33.0,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
GR,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,0831,7,26/07/19,Friday,08:49,10:31,1:42,0,46.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
GR,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,1528,30,18/08/19,Sunday,15:37,17:28,1:51,0,33.0,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
GR,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,1430,1,20/07/19,Saturday,14:30,16:30,2:0,0,33.0,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
GR,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,0831,7,26/07/19,Friday,08:31,10:09,1:38,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GR,Doncaster,DON,London Kings Cross,KGX,20190719_11-14,1528,30,18/08/19,Sunday,15:37,17:28,1:51,0,33.0,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
All TOCs,London Kings Cross,KGX,Doncaster,DON,20190719_11-14,1147,1,20/07/19,Saturday,11:47,13:25,1:38,0,25.0,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
All TOCs,London Kings Cross,KGX,Doncaster,DON,20190719_11-14,2330,7,26/07/19,Friday,23:33,01:24,1:51,0,33.0,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
All TOCs,London Kings Cross,KGX,Doncaster,DON,20190719_11-14,1550,30,18/08/19,Sunday,15:50,17:17,1:27,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
All TOCs,London Kings Cross,KGX,Doncaster,DON,20190719_11-14,1147,1,20/07/19,Saturday,11:47,13:25,1:38,0,25.0,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
All TOCs,London Kings Cross,KGX,Doncaster,DON,20190719_11-14,2330,7,26/07/19,Friday,23:33,01:24,1:51,0,33.0,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
All TOCs,London Kings Cross,KGX,Doncaster,DON,20190719_11-14,1550,30,18/08/19,Sunday,15:50,17:17,1:27,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,London Kings Cross,KGX,Doncaster,DON,20190719_11-14,1147,1,20/07/19,Saturday,11:47,13:25,1:38,0,25.0,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
GC,London Kings Cross,KGX,Doncaster,DON,20190719_11-14,2330,7,26/07/19,Friday,10:48,12:17,1:29,0,31.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,London Kings Cross,KGX,Doncaster,DON,20190719_11-14,1550,30,18/08/19,Sunday,15:50,17:17,1:27,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,London Kings Cross,KGX,Doncaster,DON,20190719_11-14,1147,1,20/07/19,Saturday,15:48,17:18,1:30,0,25.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
