date_data_generated,travel_Date,departure_station,arrival_station,departure_time,breakdown_time,cheapest_first_class,discount,fare_provider,route_description,route_name,ticket_type,full_price,nre_fare_category,ticketprice
20190605_23-04,06/06/19,Edinburgh,London Kings Cross,06:56,SingleFare,6.6,0,London North Eastern Railway,Travel is allowed via any permitted route.,ANY PERMITTED,Super Off-Peak Single,146.4,FLEXIBLE,146.4
20190605_23-04,06/06/19,Edinburgh,London Kings Cross,08:30,SingleFare,80.0,0,London North Eastern Railway,Only valid on booked London North Eastern Railway services and required connecting services.,LNER & CONNECTNS,Advance (Standard Class),73.0,RESTRICTED,73.0
20190605_23-04,12/06/19,Edinburgh,London Kings Cross,06:56,SingleFare,71.5,0,London North Eastern Railway,Only valid on booked London North Eastern Railway services and required connecting services.,LNER & CONNECTNS,Advance (Standard Class),59.5,RESTRICTED,59.5
20190605_23-04,12/06/19,Edinburgh,London Kings Cross,08:30,SingleFare,58.0,0,London North Eastern Railway,Only valid on booked London North Eastern Railway services and required connecting services.,LNER & CONNECTNS,Advance (Standard Class),73.0,RESTRICTED,73.0
20190605_23-04,05/07/19,Edinburgh,London Kings Cross,06:56,SingleFare,58.0,0,London North Eastern Railway,Only valid on booked London North Eastern Railway services and required connecting services.,LNER & CONNECTNS,Advance (Standard Class),73.0,RESTRICTED,73.0
20190605_23-04,05/07/19,Edinburgh,London Kings Cross,08:30,SingleFare,65.0,0,London North Eastern Railway,Only valid on booked London North Eastern Railway services and required connecting services.,LNER & CONNECTNS,Advance (Standard Class),88.0,RESTRICTED,88.0
20190605_23-04,06/06/19,Edinburgh,London Kings Cross,06:56,SingleFare,6.6,0,London North Eastern Railway,Travel is allowed via any permitted route.,ANY PERMITTED,Super Off-Peak Single,146.4,FLEXIBLE,146.4
20190605_23-04,06/06/19,Edinburgh,London Kings Cross,08:30,SingleFare,80.0,0,London North Eastern Railway,Only valid on booked London North Eastern Railway services and required connecting services.,LNER & CONNECTNS,Advance (Standard Class),73.0,RESTRICTED,73.0
20190605_23-04,12/06/19,Edinburgh,London Kings Cross,06:56,SingleFare,71.5,0,London North Eastern Railway,Only valid on booked London North Eastern Railway services and required connecting services.,LNER & CONNECTNS,Advance (Standard Class),59.5,RESTRICTED,59.5
20190605_23-04,12/06/19,Edinburgh,London Kings Cross,08:30,SingleFare,58.0,0,London North Eastern Railway,Only valid on booked London North Eastern Railway services and required connecting services.,LNER & CONNECTNS,Advance (Standard Class),73.0,RESTRICTED,73.0
20190605_23-04,05/07/19,Edinburgh,London Kings Cross,06:56,SingleFare,58.0,0,London North Eastern Railway,Only valid on booked London North Eastern Railway services and required connecting services.,LNER & CONNECTNS,Advance (Standard Class),73.0,RESTRICTED,73.0
20190605_23-04,05/07/19,Edinburgh,London Kings Cross,08:30,SingleFare,65.0,0,London North Eastern Railway,Only valid on booked London North Eastern Railway services and required connecting services.,LNER & CONNECTNS,Advance (Standard Class),88.0,RESTRICTED,88.0
20190605_23-04,06/06/19,Reading,London Paddington,10:56,SingleFare,1.7976931348623157e+308,0,Great Western Railway,Travel is allowed via any permitted route.,ANY PERMITTED,Off-Peak Day Single,20.6,FLEXIBLE,20.6
20190605_23-04,06/06/19,Reading,London Paddington,11:57,SingleFare,1.7976931348623157e+308,0,Great Western Railway,Travel is allowed via any permitted route.,ANY PERMITTED,Off-Peak Day Single,20.6,FLEXIBLE,20.6
20190605_23-04,12/06/19,Reading,London Paddington,10:56,SingleFare,1.7976931348623157e+308,0,Great Western Railway,Travel is allowed via any permitted route.,ANY PERMITTED,Off-Peak Day Single,20.6,FLEXIBLE,20.6
20190605_23-04,12/06/19,Reading,London Paddington,11:57,SingleFare,1.7976931348623157e+308,0,Great Western Railway,Travel is allowed via any permitted route.,ANY PERMITTED,Off-Peak Day Single,20.6,FLEXIBLE,20.6
20190605_23-04,05/07/19,Reading,London Paddington,10:56,SingleFare,1.7976931348623157e+308,0,Great Western Railway,Travel is allowed via any permitted route.,ANY PERMITTED,Off-Peak Day Single,20.6,FLEXIBLE,20.6
20190605_23-04,05/07/19,Reading,London Paddington,11:57,SingleFare,1.7976931348623157e+308,0,Great Western Railway,Travel is allowed via any permitted route.,ANY PERMITTED,Off-Peak Day Single,20.6,FLEXIBLE,20.6
20190605_23-04,06/06/19,Reading,London Paddington,10:56,SingleFare,1.7976931348623157e+308,0,Great Western Railway,Travel is allowed via any permitted route.,ANY PERMITTED,Off-Peak Day Single,20.6,FLEXIBLE,20.6
20190605_23-04,06/06/19,Reading,London Paddington,11:57,SingleFare,1.7976931348623157e+308,0,Great Western Railway,Travel is allowed via any permitted route.,ANY PERMITTED,Off-Peak Day Single,20.6,FLEXIBLE,20.6
20190605_23-04,12/06/19,Reading,London Paddington,10:56,SingleFare,1.7976931348623157e+308,0,Great Western Railway,Travel is allowed via any permitted route.,ANY PERMITTED,Off-Peak Day Single,20.6,FLEXIBLE,20.6
20190605_23-04,12/06/19,Reading,London Paddington,11:57,SingleFare,1.7976931348623157e+308,0,Great Western Railway,Travel is allowed via any permitted route.,ANY PERMITTED,Off-Peak Day Single,20.6,FLEXIBLE,20.6
20190605_23-04,05/07/19,Reading,London Paddington,10:56,SingleFare,1.7976931348623157e+308,0,Great Western Railway,Travel is allowed via any permitted route.,ANY PERMITTED,Off-Peak Day Single,20.6,FLEXIBLE,20.6
20190605_23-04,05/07/19,Reading,London Paddington,11:57,SingleFare,1.7976931348623157e+308,0,Great Western Railway,Travel is allowed via any permitted route.,ANY PERMITTED,Off-Peak Day Single,20.6,FLEXIBLE,20.6
