Origin,Origin_Code,Destination,Destination_Code,Date_accessed,Departure_Gap,Departure_Date,Departure_Day,Departure_time,Arrival_time,Duration,Changes,Price,Fare_Route_Description,Fare_Provider,TOC_Name,TOC_Provider,Ticket_type,nre_fare_category
Doncaster,DON,London Kings Cross,KGX,20190711_15-49,1,12/07/19,Friday,07:14,08:51,1:37,0,107.5,Travel is allowed via any permitted route.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Anytime Single,OPEN
Doncaster,DON,London Kings Cross,KGX,20190711_15-49,1,12/07/19,Friday,07:14,08:51,1:37,0,107.5,Travel is allowed via any permitted route.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Anytime Single,OPEN
Doncaster,DON,London Kings Cross,KGX,20190711_15-49,1,12/07/19,Friday,07:47,09:31,1:44,0,107.5,Travel is allowed via any permitted route.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Anytime Single,OPEN
Doncaster,DON,London Kings Cross,KGX,20190711_15-49,1,12/07/19,Friday,08:31,10:09,1:38,0,54.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190711_15-49,7,18/07/19,Thursday,07:14,08:51,1:37,0,107.5,Travel is allowed via any permitted route.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Anytime Single,OPEN
Doncaster,DON,London Kings Cross,KGX,20190711_15-49,7,18/07/19,Thursday,07:14,08:51,1:37,0,107.5,Travel is allowed via any permitted route.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Anytime Single,OPEN
Doncaster,DON,London Kings Cross,KGX,20190711_15-49,7,18/07/19,Thursday,07:47,09:31,1:44,0,107.5,Travel is allowed via any permitted route.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Anytime Single,OPEN
Doncaster,DON,London Kings Cross,KGX,20190711_15-49,7,18/07/19,Thursday,08:31,10:09,1:38,0,54.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190711_15-49,30,10/08/19,Saturday,14:25,16:09,1:44,0,19.5,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190711_15-49,30,10/08/19,Saturday,14:25,16:09,1:44,0,19.5,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
Grantham,GRA,London Kings Cross,KGX,20190711_15-49,1,12/07/19,Friday,07:26,08:40,1:14,0,62.0,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
Grantham,GRA,London Kings Cross,KGX,20190711_15-49,1,12/07/19,Friday,08:03,09:15,1:12,0,42.5,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
Grantham,GRA,London Kings Cross,KGX,20190711_15-49,1,12/07/19,Friday,08:18,09:31,1:13,0,69.0,Travel is allowed via any permitted route.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Anytime Day Single,OPEN
Grantham,GRA,London Kings Cross,KGX,20190711_15-49,7,18/07/19,Thursday,07:26,08:40,1:14,0,62.0,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
Grantham,GRA,London Kings Cross,KGX,20190711_15-49,7,18/07/19,Thursday,08:03,09:15,1:12,0,57.0,Valid only on Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Anytime Single,OPEN
Grantham,GRA,London Kings Cross,KGX,20190711_15-49,7,18/07/19,Thursday,08:18,09:31,1:13,0,69.0,Travel is allowed via any permitted route.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Anytime Day Single,OPEN
